MJD;Year;Month;Day;Type;x_pole;sigma_x_pole;y_pole;sigma_y_pole;x_rate;sigma_x_rate;y_rate;sigma_y_rate;Type;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;Type;dPsi;sigma_dPsi;dEpsilon;sigma_dEpsilon;dX;sigma_dX;dY;sigma_dY;Type;bulB/x_pole;bulB/y_pole;Type;bulB/UT-UTC;Type;bulB/dPsi;bulB/dEpsilon;bulB/dX;bulB/dY
48622;1992;01;01;final;0.182987;0.000672;0.168775;0.000345;;;;;final;-0.1251659;0.0000207;1.8335;0.0201;final;;;;;-0.086;0.202;0.130;0.165;final;.182400;.167900;final;-.1253000;final;;;0.129;-0.653
48623;1992;01;02;final;0.180614;0.000672;0.166776;0.000345;;;;;final;-0.1269551;0.0000203;1.7556;0.0144;final;;;;;-0.027;0.202;0.128;0.165;final;.180300;.165900;final;-.1270800;final;;;0.155;-0.575
48624;1992;01;03;final;0.178183;0.000672;0.164804;0.000345;;;;;final;-0.1286996;0.0000200;1.7450;0.0107;final;;;;;0.014;0.274;0.154;0.298;final;.178200;.163900;final;-.1288200;final;;;0.135;-0.478
48625;1992;01;04;final;0.175821;0.000264;0.162834;0.000341;;;;;final;-0.1304668;0.0000070;1.7995;0.0105;final;;;;;0.032;0.210;0.205;0.298;final;.175700;.161600;final;-.1305800;final;;;-0.006;-0.229
48626;1992;01;05;final;0.173528;0.000192;0.160861;0.000246;;;;;final;-0.1323166;0.0000063;1.9081;0.0045;final;;;;;0.026;0.210;0.265;0.298;final;.173500;.159600;final;-.1324300;final;;;-0.100;-0.226
48627;1992;01;06;final;0.171271;0.000200;0.158881;0.000246;;;;;final;-0.1342957;0.0000055;2.0548;0.0044;final;;;;;0.009;0.189;0.301;0.298;final;.171100;.157800;final;-.1344200;final;;;-0.174;-0.453
48628;1992;01;07;final;0.169015;0.000169;0.156898;0.000254;;;;;final;-0.1364324;0.0000061;2.2201;0.0041;final;;;;;0.002;0.096;0.282;0.298;final;.168700;.156000;final;-.1365600;final;;;-0.229;-0.657
48629;1992;01;08;final;0.166685;0.000169;0.154962;0.000254;;;;;final;-0.1387344;0.0000061;2.3807;0.0044;final;;;;;0.013;0.078;0.222;0.107;final;.166200;.154200;final;-.1388600;final;;;-0.255;-0.711
48630;1992;01;09;final;0.164145;0.000172;0.153213;0.000254;;;;;final;-0.1411861;0.0000063;2.5180;0.0059;final;;;;;0.042;0.078;0.241;0.107;final;.163600;.152600;final;-.1413200;final;;;-0.169;-0.647
48631;1992;01;10;final;0.161424;0.000185;0.151633;0.000220;;;;;final;-0.1437590;0.0000102;2.6210;0.0053;final;;;;;0.096;0.315;0.314;0.134;final;.160900;.151000;final;-.1439000;final;;;-0.108;-0.587
